sn,ResponseID,rating,StartDate,EndDate,genderq,ageq,edu,socpol,ecopol,polpos,polpref
10,"R_3nPnpsMnorqAFOS",7,"2020-11-29 18:59:32","2020-11-29 19:07:38",2,55,5,2,2,1,2
10,"R_3nVkDAzgUz27fwH",5,"2020-11-25 17:15:36","2020-11-25 17:18:30",1,28,5,4,5,1,2
10,"R_OpzQiiFQ9saAZlD",6,"2020-11-29 21:39:04","2020-11-29 21:45:14",1,40,6,5,6,2,5
10,"R_Tqkz0fUFG5dT0ZP",5,"2020-11-29 19:35:35","2020-11-29 19:39:09",1,31,5,1,1,1,2
10,"R_abjE6sQIIlAfwQN",7,"2020-11-29 23:25:54","2020-11-29 23:35:08",1,40,6,6,3,1,1
10,"R_rdz5wyTXVaKxYFX",7,"2020-11-29 20:09:56","2020-11-29 20:22:00",1,29,4,3,3,3,4
10,"R_tPtbQLQwq6sTJ85",4,"2020-11-29 21:34:19","2020-11-29 21:37:10",2,30,6,5,6,2,4
11,"R_1LRvXCcVNMfS2Wv",3,"2020-11-25 16:48:19","2020-11-25 16:52:29",1,30,4,6,1,3,3
11,"R_2ASBxTea7AIhr64",7,"2020-11-29 17:56:59","2020-11-29 18:10:44",2,48,5,2,5,3,3
11,"R_2BzLklbnj5ct15d",5,"2020-11-29 23:25:20","2020-11-29 23:36:12",1,56,5,4,3,1,1
11,"R_2Siv3JXgZOvhK0z",5,"2020-11-29 21:32:36","2020-11-29 21:34:17",2,30,5,4,4,1,2
11,"R_2YDShSP5H5noMXQ",4,"2020-11-29 18:17:26","2020-11-29 18:23:34",1,36,5,4,4,1,3
11,"R_3LbawdeFljSgb80",4,"2020-11-25 16:33:36","2020-11-25 16:36:48",2,35,5,2,2,1,2
11,"R_3Ph7sEx60GzHuIw",4,"2020-11-29 21:33:59","2020-11-29 21:36:47",1,31,6,4,4,2,4
11,"R_3kHUJdfJf5KlhPo",4,"2020-11-29 23:25:03","2020-11-29 23:29:19",2,28,5,1,1,3,1
11,"R_3rSVFgMCCatMgs6",5,"2020-11-29 19:46:27","2020-11-29 19:49:07",1,33,5,4,3,3,5
11,"R_7QaX7BWBmU5rMSB",5,"2020-11-29 19:35:33","2020-11-29 19:37:46",2,48,5,2,2,1,2
11,"R_DGmcsGzN6jwI28V",6,"2020-11-29 23:28:15","2020-11-29 23:40:53",1,30,5,4,6,2,2
11,"R_PFXuVU1VUsdqyZz",6,"2020-11-30 00:56:17","2020-11-30 00:59:50",1,30,5,6,6,1,1
11,"R_XYZW7INWqhOLdhn",6,"2020-11-29 18:04:07","2020-11-29 18:09:48",1,52,5,5,5,1,2
11,"R_ZgblavDhrJJbPvb",2,"2020-11-29 21:33:00","2020-11-29 21:35:58",1,52,5,5,5,2,5
12,"R_0UQQLKDBQ8WxSmJ",3,"2020-11-29 17:56:53","2020-11-29 18:02:54",2,60,6,3,4,3,3
12,"R_1DC1dhHFEaa136t",6,"2020-11-30 00:10:42","2020-11-30 00:22:58",1,29,5,5,4,2,5
12,"R_1IBeZNhmUmwIMDp",5,"2020-11-29 19:39:12","2020-11-29 19:44:21",1,46,4,2,2,3,3
12,"R_1OwTZTheZ8xydso",1,"2020-11-29 18:21:59","2020-11-29 18:29:02",1,55,5,3,4,3,3
12,"R_1lmLwMO1P821phv",1,"2020-11-29 18:08:40","2020-11-29 18:11:49",1,58,6,2,5,1,3
12,"R_1pyREmfN6sYlxFN",5,"2020-11-29 19:36:12","2020-11-29 19:47:36",2,63,4,5,5,2,5
12,"R_2ZBKY9Cjiv7oG6C",5,"2020-11-25 16:30:57","2020-11-25 16:36:00",2,48,5,5,5,1,2
12,"R_2ZWxLtW53hjIc1v",3,"2020-11-29 23:26:45","2020-11-29 23:32:38",1,22,5,4,2,1,2
12,"R_2cCSHSoAB7fURyE",3,"2020-11-29 21:33:36","2020-11-29 21:40:30",1,76,5,2,2,1,1
12,"R_2ciHoMs28vQ6VOs",6,"2020-11-25 15:31:02","2020-11-25 15:35:40",1,29,5,5,4,1,1
